username,tweet
b'MaibhiAnna',Israel is a true friend of India  They helped us during  and Kargil War and in every difficult situation India Air Defense system is from Israel Both countries have seen the Grusome picture of
b'Jarvis',She prays for
b' Mo Shone ',When did we start supporting the celebrating of acts of
b'northeast hindu united',what does it have to do with Israel  Opposing
b'Sustainable Urbanism ',
b'Sustainable Urbanism ',Australian police have tonight warned Australian Jews not to go near the Sydney Opera House Town Hall and Central Business District Let that sink in for a second We are supposed to be a democratic multicultural country
b'I Contain Multitudes',There is NO excuse for
b'Hemraj Dewasi',Dear world wakeup Wakeup  unite against IsIamic
b'Maggie Gardener ',You misread The act of Hamas is
b'Natalia \xe2\x93\x8f Bogacz',Yeah but how have the fight against
b'KP Astro',You people never change Israel is not fighting for religion but for stopping
b'\xe0\xa4\x8f\xe0\xa4\xb8 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb6\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xbe',We love and support Israel Stay strong and crush the
b'leo Jeslin',Fight Politics of Both Country and
b'MystWolven',Teach them the basics technique curiosity desire to learn Do you understand were talking about leechware built on wage theft plagiarism racism sexism
b'UNCLE DEJI',Nigeria is less terrorized in  compared to  according to Global
b'seamus murphy',Your position is contorted What definition of
b'Sinai',Read my first comment again Every mosque and school will be bombed when there are terrorists hidden and planning to kill israeli civilians My logic is against
b'Mohammed Saud',Sooner or later you will get what you deserve you support Israeli
b'Deng Chao',You are a simp for
b'Dynamo',All who were cheering
b'Sassi Iskander',habibi israel is the
b'blanklabel',has no place in this world
b'Me We ',Imperialism is
b'surya',SPGC is a hate organization should be shut immediately All they speak are lies and glorify terrorists and
b'\xe2\x82\xb4\xe2\xb1\xa7\xe2\x92\xb6\xc3\x98\xe2\x82\xa6 \xe2\xb1\xa0\xc5\x82\xe0\xb8\xbf\xc9\x86\xe2\xb1\xa4\xe2\x82\xb3\xe2\x82\xae\xc5\x82\xc3\x98\xe2\x82\xa6',Hamas  Zionists are both guilty of
"b""Hiro's gallery""",Israel Defense Forces
"b""Hiro's gallery""",   
b'Peter Darrow',More Diabolical Hamas
b'Mohammad Fahim Khan',You are terrorist and israel is terrorist All th western countries are terrorist You have never spoke of the
